,"Area
Code",St,Cnty,Own,NAICS,Year,Qtr,Area Type,St Name,Area,Ownership,Industry,Status Code,Establishment Count,January Employment,February Employment,March Employment,Total Quarterly Wages,Average Weekly Wage,Employment Location Quotient Relative to U.S.,Total Wage Location Quotient Relative to U.S.
18,01000,01,0.0,0,10,2021,1,State,Alabama,Alabama -- Statewide,Total Covered,"10 Total, all industries",,136277,1912538,1925790,1933810,24847431907,993,1.0,1.0
19,01000,01,0.0,1,10,2021,1,State,Alabama,Alabama -- Statewide,Federal Government,"10 Total, all industries",,1250,55186,55351,55568,1136428310,1579,1.41,1.81
20,01000,01,0.0,2,10,2021,1,State,Alabama,Alabama -- Statewide,State Government,"10 Total, all industries",,1357,95262,96909,97333,1328920179,1059,1.53,1.67
21,01000,01,0.0,3,10,2021,1,State,Alabama,Alabama -- Statewide,Local Government,"10 Total, all industries",,3725,208290,208500,208989,2337160164,862,1.1,1.16
22,01000,01,0.0,5,10,2021,1,State,Alabama,Alabama -- Statewide,Private,"10 Total, all industries",,129945,1553800,1565030,1571920,20044923254,986,0.96,0.94
23,01000,01,0.0,5,101,2021,1,State,Alabama,Alabama -- Statewide,Private,101 Goods-producing,,18504,371362,372853,374427,5424101543,1119,1.3,1.39
24,01000,01,0.0,5,1011,2021,1,State,Alabama,Alabama -- Statewide,Private,1011 Natural resources and mining,,1843,17230,17116,17203,244182028,1093,0.76,0.9
25,01000,01,0.0,5,1012,2021,1,State,Alabama,Alabama -- Statewide,Private,1012 Construction,,10769,91973,92531,93912,1298818566,1077,0.96,1.08
26,01000,01,0.0,5,1013,2021,1,State,Alabama,Alabama -- Statewide,Private,1013 Manufacturing,,5892,262159,263206,263312,3881100949,1136,1.57,1.59
27,01000,01,0.0,5,102,2021,1,State,Alabama,Alabama -- Statewide,Private,102 Service-providing,,111441,1182438,1192177,1197493,14620821711,945,0.89,0.84
28,01000,01,0.0,5,1021,2021,1,State,Alabama,Alabama -- Statewide,Private,"1021 Trade, transportation, and utilities",,32922,377381,378630,380113,4477782717,910,1.02,1.18
29,01000,01,0.0,5,1022,2021,1,State,Alabama,Alabama -- Statewide,Private,1022 Information,,2923,18969,19111,19190,353937845,1426,0.51,0.3
30,01000,01,0.0,5,1023,2021,1,State,Alabama,Alabama -- Statewide,Private,1023 Financial activities,,14201,93839,94219,94869,2038665912,1663,0.84,0.65
31,01000,01,0.0,5,1024,2021,1,State,Alabama,Alabama -- Statewide,Private,1024 Professional and business services,,23989,247463,249919,250263,3743298421,1155,0.88,0.76
