,job_title,company_name,company_location,job_description,date_posted
0,Data Scientist,TikTok,"Mountain View, CA+24 locations","Knowledge in basic machine learning and deep learning;
The team is made up of machine learning researchers and engineers, who support and innovate on production…",2021-11-07
1,"Data Scientist, Game Analytics & Strategy",the NBA,"New York, NY 10022 (Midtown area)","Experience working with data visualization tools (e.g. Shiny or Tableau).
Supervised and unsupervised learning techniques in machine learning (e.g.…",2021-12-03
2,Data Scientist,"Visvero, Inc.","Pittsburgh, PA 15205","Master’s degree in Computer Science or related field or equivalent work experience, PhD being a significant plus · Courses in AI / Machine learning / Deep…",2021-11-13
3,Data Scientist,UPMC,"Pittsburgh, PA 15224 (Central Lawrenceville area)","Implements plans for capturing and creating new data elements, working with Health Plan CIO and IT staff.
Experience with machine learning models highly desired…",2021-11-07
4,Data Scientist - Entry Level,Govini,"Pittsburgh, PA+1 location","Proficiency in statistical analysis, quantitative analytics, forecasting/predictive analytics, multivariate testing, and optimization algorithms.",2021-12-07
5,Data Scientist II,Amazon.com Services LLC,+126 locationsRemote,"You will collaborate closely as part of a blended science-based product team blending research, engineering, visual analytics, and product and program…",2021-11-07
6,Data Scientist (REMOTE),DICK'S Sporting Goods,"Coraopolis, PA 15108•Remote","Apply machine learning and data mining techniques to extract actionable insights from large-scale, high-dimensional data.",2021-11-07
7,Senior Data Scientist,Aignyte,Remote,"Experience managing teams and coaching less experienced data scientists.
Prior experience in consulting or data analytics product development is preferred, but…",2021-12-05
8,Data Scientist,Facebook App,"New York, NY+126 locations","Mine massive amounts of data and perform large-scale data analysis to extract useful business insights.
Develop data pipelines with automated, machine-learning…",2021-12-07
9,Safety Data Scientist,Aurora Innovation,"Pittsburgh, PA 15201 (Central Lawrenceville area)+1 location","Enthusiasm for applying data science to the toughest challenges in autonomous driving.
Identify, utilize, or create as appropriate the needed technical…",2021-11-07
10,Data Scientist,M J Brunner Inc,"Pittsburgh, PA 15222 (Strip District area)+1 location","You will demonstrate progress at working across the full analytics project lifecycle, from (1) requirements and scoping; through (2) data acquisition and…",2021-11-08
11,Data Scientist,Agile Onboarding,Remote,"test Required Skills test Desired Skills test About Agile Onboarding, LLC. Agile Onboarding is a people first company…",2021-12-03
12,Data Scientist,Equifax,"Austin, TX 73301 (St Edwards area)+1 location","Qualified candidates will have a strong academic background in mathematics or statistics, passion for data science, data mining, machine learning and experience…",2021-12-06
13,Data Scientist,Patrick J McGovern Foundation,Remote,"Expertise in machine learning approaches and applied AI with experience in geospatial analytics.
Contribute to a growing community of data and AI for good…",2021-12-03
14,Data Scientist 4,Oracle,United States+20 locations,"Identifies meaningful insights from large data and metadata sources; interprets and communicates insights and findings from analysis and experiments to product,…",2021-12-06
15,Predictive Modeler,Lancer Insurance Company,Remote,"Collaborate with stakeholders to integrate data mining results with existing systems.
Develop and apply predictive models using multiple statistical and machine…",2021-12-03
